,synapse_transcript_id
954,ENSMUST00000023088
955,ENSMUST00000023652
956,ENSMUST00000022124
957,ENSMUST00000114840
958,ENSMUST00000188522
959,ENSMUST00000007236
960,ENSMUST00000147721
961,ENSMUST00000071539
962,ENSMUST00000187639
963,ENSMUST00000032754
964,ENSMUST00000109544
965,ENSMUST00000040562
966,ENSMUST00000039956
967,ENSMUST00000066652
968,ENSMUST00000085245
969,ENSMUST00000235593
970,ENSMUST00000001109
971,ENSMUST00000237770
972,ENSMUST00000052969
973,ENSMUST00000064234
974,ENSMUST00000192511
975,ENSMUST00000034592
976,ENSMUST00000040213
977,ENSMUST00000074991
978,ENSMUST00000067485
979,ENSMUST00000130103
980,ENSMUST00000004430
981,ENSMUST00000050433
982,ENSMUST00000087475
983,ENSMUST00000118367
984,ENSMUST00000045846
985,ENSMUST00000116641
986,ENSMUST00000032895
987,ENSMUST00000050625
988,ENSMUST00000149691
989,ENSMUST00000137339
990,ENSMUST00000032422
991,ENSMUST00000057279
992,ENSMUST00000169905
993,ENSMUST00000111266
994,ENSMUST00000029948
995,ENSMUST00000199675
996,ENSMUST00000035597
997,ENSMUST00000111265
998,ENSMUST00000015000
999,ENSMUST00000109994
1000,ENSMUST00000089174
1001,ENSMUST00000053239
1002,ENSMUST00000031423
1003,ENSMUST00000067924
1004,ENSMUST00000182663
1005,ENSMUST00000024906
1006,ENSMUST00000027020
1007,ENSMUST00000162280
1008,ENSMUST00000029256
1009,ENSMUST00000210780
1010,ENSMUST00000046893
1011,ENSMUST00000023994
1012,ENSMUST00000084838
1013,ENSMUST00000042290
1014,ENSMUST00000105996
1015,ENSMUST00000167636
1016,ENSMUST00000159634
1017,ENSMUST00000087321
1018,ENSMUST00000109418
1019,ENSMUST00000124142
1020,ENSMUST00000122373
1021,ENSMUST00000109993
1022,ENSMUST00000068135
1023,ENSMUST00000070736
1024,ENSMUST00000238592
1025,ENSMUST00000028239
1026,ENSMUST00000077489
1027,ENSMUST00000005975
1028,ENSMUST00000030434
1029,ENSMUST00000028836
1030,ENSMUST00000108910
1031,ENSMUST00000022881
1032,ENSMUST00000082437
1033,ENSMUST00000060719
1034,ENSMUST00000100387
1035,ENSMUST00000031278
1036,ENSMUST00000201363
1037,ENSMUST00000027449
1038,ENSMUST00000105560
1039,ENSMUST00000210449
1040,ENSMUST00000113438
1041,ENSMUST00000110301
1042,ENSMUST00000177752
1043,ENSMUST00000116349
1044,ENSMUST00000006853
1045,ENSMUST00000029881
1046,ENSMUST00000037048
1047,ENSMUST00000138750
1048,ENSMUST00000175858
1049,ENSMUST00000191837
1050,ENSMUST00000155404
1051,ENSMUST00000088454
1052,ENSMUST00000237104
1053,ENSMUST00000071585
1054,ENSMUST00000118466
1055,ENSMUST00000239139
1056,ENSMUST00000032192
1057,ENSMUST00000033184
1058,ENSMUST00000107158
